Cell ID,Cell Position X,Cell Position Y,Cell Position Z
0,194.856,178.306,4.87618
1,196.222,188.934,4.70236
2,156.695,193.631,4.76135
3,169.69,196.13,4.84312
4,188.193,192.427,4.54085
5,193.83,194.127,4.89521
6,176.343,194.094,4.77142
7,188.279,180.357,4.74254
8,178.448,181.495,4.92938
9,184.139,185.044,4.82087
10,191.706,185.618,4.8475
12,176.419,187.857,4.69268
13,169.14,189.428,4.61375
15,182.456,191.289,4.91017
16,163.768,193.116,4.84213
17,149.794,194.235,4.90167
18,290.785,170.79,4.78392
19,290.483,177.829,4.74346
20,293.681,183.556,4.8469
21,294.17,191.351,4.96243
22,219.729,197.23,4.7588
23,225.413,196.456,4.90304
24,235.971,192.944,4.74594
25,241.754,195.497,4.81347
26,249.94,196.753,4.87586
27,257.282,194.559,4.75124
28,268.572,194.628,4.84424
29,282.177,194.405,4.77502
30,285.55,198.726,4.89602
31,291.033,196.521,4.77667
33,273.589,169.656,4.96693
34,280.225,167.85,5.4491
35,240.484,168.706,4.81629
36,246.569,168.927,5.36991
37,260.13,171.338,4.8559
38,231.395,171.199,4.8774
39,266.991,171.141,5.02496
40,252.144,171.812,5.00015
41,284.738,172.429,5.02692
42,224.475,173.581,4.85672
43,236.519,174.483,4.96673
44,216.908,174.05,4.95205
45,243.634,174.694,4.8543
46,278.308,174.939,4.92613
47,271.626,175.813,4.64324
48,210.45,174.787,4.66397
49,249.858,178.034,4.78415
50,264.41,176.993,4.80863
51,201.04,176.42,5.08395
52,257.209,177.197,4.79039
53,229.578,178.825,4.77753
54,283.918,178.095,4.98027
55,206.515,179.289,4.96911
56,221.624,179.256,4.82705
57,213.585,181.204,4.78161
58,242.588,180.95,4.65337
59,236.031,181.474,4.81606
60,274.524,181.029,4.73006
61,261.891,183.036,4.91803
62,200.052,183.699,4.79997
63,254.218,183.039,4.81129
64,268.448,182.492,4.60967
65,280.674,182.612,4.91521
66,287.497,184.523,4.88003
67,248.106,184.898,4.68293
68,219.371,184.561,4.44742
69,225.899,185.936,4.81231
70,232.419,186.197,4.57223
71,207.359,185.894,4.79654
72,240.225,187.488,4.76175
73,276.838,187.218,4.94574
74,270.962,188.223,4.77661
75,258.045,188.284,4.8263
76,214.242,188.437,4.82939
77,264.138,189.88,4.62643
78,282.644,188.73,4.86442
79,201.779,191.449,4.79379
80,221.072,190.715,4.91158
81,245.746,191.007,4.85852
82,251.948,190.607,4.66905
83,288.004,191.32,4.773
84,208.77,192.802,4.69807
85,230.225,192.264,4.81713
86,276.04,193.747,5.01286
87,296.175,198.666,4.86108
88,300.526,193.587,4.5813
89,306.517,195.432,4.99733
